ID	gene_family	genbank_protein_accession	genbank_nucleotide_accession	class	subclass	pubmed_reference	product_name	Resistance Mechanism
OTN27812.1	blaADC	OTN27812.1	NGEY01000028.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-246	-
OTR57744.1	blaADC	OTR57744.1	NGFV01000002.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-247	-
OTU75713.1	blaADC	OTU75713.1	NGJD01000012.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-248	-
OTT85755.1	blaADC	OTT85755.1	NGIG01000072.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-249	-
ABK34773.1	blaADC	ABK34773.1	EF016355.1	BETA-LACTAM	CEPHALOSPORIN	18077141	extended-spectrum class C beta-lactamase ADC-25	-
OTS26706.1	blaADC	OTS26706.1	NGGN01000005.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-250	-
OTT95091.1	blaADC	OTT95091.1	NGII01000039.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-251	-
OTU20214.1	blaADC	OTU20214.1	NGIO01000031.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-252	-
OTU44844.1	blaADC	OTU44844.1	NGIW01000020.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-253	-
OTT74418.1	blaADC	OTT74418.1	NGIB01000003.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-254	-
OTT91454.1	blaADC	OTT91454.1	NGIH01000033.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-255	-
QRN78589.1	blaADC	QRN78589.1	MW075278.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-256	-
QVU28095.1	blaADC	QVU28095.1	MZ224611.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-257	-
QVU28094.1	blaADC	QVU28094.1	MZ224612.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-258	-
UBX38689.1	blaADC	UBX38689.1	OK340849.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-259	-
ADG46043.1	blaADC	ADG46043.1	GU591987.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-26	-
UCZ39549.1	blaADC	UCZ39549.1	OK396701.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-260	-
UGW32408.1	blaADC	UGW32408.1	OL774887.1	BETA-LACTAM	CEPHALOSPORIN	21788456	cefepime-hydrolyzing class C beta-lactamase ADC-261	-
UHO07582.1	blaADC	UHO07582.1	OL901271.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-262	-
UHO07583.1	blaADC	UHO07583.1	OL901272.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-263	-
UHO07591.1	blaADC	UHO07591.1	OL901280.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-264	-
ULU82599.1	blaADC	ULU82599.1	OM572561.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-265	-
UOU25744.1	blaADC	UOU25744.1	ON191578.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-266	-
UTQ48801.1	blaADC	UTQ48801.1	ON960904.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-267	-
UTS94213.1	blaADC	UTS94213.1	ON651460.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-268	-
UTS94214.1	blaADC	UTS94214.1	ON651461.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-269	-
UTS94215.1	blaADC	UTS94215.1	ON651462.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-270	-
UTS94216.1	blaADC	UTS94216.1	ON651463.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-271	-
UTS94217.1	blaADC	UTS94217.1	ON651464.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-272	-
UTS94218.1	blaADC	UTS94218.1	ON651465.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-273	-
UTS94219.1	blaADC	UTS94219.1	ON651466.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-274	-
UTS94220.1	blaADC	UTS94220.1	ON651467.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-275	-
UTS94221.1	blaADC	UTS94221.1	ON651468.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-276	-
UTS94222.1	blaADC	UTS94222.1	ON651469.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-277	-
UTS94223.1	blaADC	UTS94223.1	ON651470.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-278	-
UTS94224.1	blaADC	UTS94224.1	ON651471.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-279	-
UTS94225.1	blaADC	UTS94225.1	ON651472.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-280	-
UTS94249.1	blaADC	UTS94249.1	ON651496.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-281	-
UTS94250.1	blaADC	UTS94250.1	ON651497.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-282	-
UUM03672.1	blaADC	UUM03672.1	OP131856.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-283	-
UVU92350.1	blaADC	UVU92350.1	OP297826.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-284	-
UVU92353.1	blaADC	UVU92353.1	OP297829.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-285	-
UZF98454.1	blaADC	UZF98454.1	OP745003.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-286	-
UZF98456.1	blaADC	UZF98456.1	OP745005.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-287	-
UZF98458.1	blaADC	UZF98458.1	OP745007.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-288	-
UZQ18804.1	blaADC	UZQ18804.1	OP806904.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-289	-
ACC66195.1	blaADC	ACC66195.1	EU604835.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-29	-
UZQ18805.1	blaADC	UZQ18805.1	OP806905.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-290	-
WDE35083.1	blaADC	WDE35083.1	OQ408539.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-291	-
MDE4038918.1	blaADC	MDE4038918.1	JARCHN010000001.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-292	-
WEG44937.1	blaADC	WEG44937.1	OQ592373.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-293	-
WEG44938.1	blaADC	WEG44938.1	OQ592374.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-294	-
EKU38981.1	blaADC	EKU38981.1	AMSS01000044.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-295	-
AAO59456.1	blaADC	AAO59456.1	AY178995.1	BETA-LACTAM	CEPHALOSPORIN	12709319	extended-spectrum class C beta-lactamase ADC-3	-
ADG46041.1	blaADC	ADG46041.1	GU591985.1	BETA-LACTAM	CEPHALOSPORIN	21788456	extended-spectrum class C beta-lactamase ADC-30	-
MDC5490025.1	blaADC	MDC5490025.1	JAOXAU010000001.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-302	-
MDC5131430.1	blaADC	MDC5131430.1	JAOWYO010000004.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-303	-
MDC5177796.1	blaADC	MDC5177796.1	JANJCG010000001.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-304	-
MDC5206348.1	blaADC	MDC5206348.1	JAOWYW010000001.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-305	-
MDC5547987.1	blaADC	MDC5547987.1	JANJEG010000001.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-306	-
MDC5515369.1	blaADC	MDC5515369.1	JANJEC010000002.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-307	-
MDC5119581.1	blaADC	MDC5119581.1	JANJCP010000016.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-308	-
MDC4862281.1	blaADC	MDC4862281.1	JANJBJ010000001.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-309	-
ADX04315.1	blaADC	ADX04315.1	CP001921.1	BETA-LACTAM	CEPHALOSPORIN	22038960	extended-spectrum class C beta-lactamase ADC-31	-
MDC5062159.1	blaADC	MDC5062159.1	JANJCA010000001.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-310	-
MDC5482482.1	blaADC	MDC5482482.1	JANJDX010000001.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-311	-
MDC5528210.1	blaADC	MDC5528210.1	JANJED010000023.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-312	-
MDC4557711.1	blaADC	MDC4557711.1	JANIZI010000005.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-313	-
MDC5248995.1	blaADC	MDC5248995.1	JANJCW010000001.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-314	-
MDC5406861.1	blaADC	MDC5406861.1	JAOWZW010000001.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-315	-
MDC4596988.1	blaADC	MDC4596988.1	JANIZP010000005.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-316	-
MDC4589794.1	blaADC	MDC4589794.1	JANIZQ010000004.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-317	-
MDC4897557.1	blaADC	MDC4897557.1	JANJBO010000013.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-318	-
MDC4364731.1	blaADC	MDC4364731.1	JAOWUQ010000001.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-319	-
ENU68675.1	blaADC	ENU68675.1	APOV01000029.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-32	-
MDC5360473.1	blaADC	MDC5360473.1	JAOWZM010000001.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-320	-
MDC4513545.1	blaADC	MDC4513545.1	JAOWVC010000002.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-321	-
MDC4290945.1	blaADC	MDC4290945.1	JANIXO010000004.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-322	-
MDC4357889.1	blaADC	MDC4357889.1	JANIXZ010000001.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-323	-
MDC5633961.1	blaADC	MDC5633961.1	JAOYRN010000002.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-324	-
MDC4671831.1	blaADC	MDC4671831.1	JANIZX010000006.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-325	-
MDC5297294.1	blaADC	MDC5297294.1	JAOXAC010000001.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-326	-
MDC4416129.1	blaADC	MDC4416129.1	JANIYJ010000001.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-327	-
MDC4995114.1	blaADC	MDC4995114.1	JAOWXP010000001.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-328	-
MDC5109664.1	blaADC	MDC5109664.1	JANJCJ010000001.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-329	-
ATW66972.1	blaADC	ATW66972.1	MG452937.1	BETA-LACTAM	CEPHALOSPORIN	20547808	cefepime-hydrolyzing class C beta-lactamase ADC-33	-
MDC5665782.1	blaADC	MDC5665782.1	JAOVSX010000002.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-330	-
MDC4333491.1	blaADC	MDC4333491.1	JAOWUO010000003.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-331	-
MDC5390807.1	blaADC	MDC5390807.1	JANJDG010000058.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-332	-
MDC4787251.1	blaADC	MDC4787251.1	JANJAT010000001.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-333	-
WIU89416.1	blaADC	WIU89416.1	OR102459.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-334	-
WIU89417.1	blaADC	WIU89417.1	OR102460.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-335	-
WKB14824.1	blaADC	WKB14824.1	OR232962.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-336	-
WKB14825.1	blaADC	WKB14825.1	OR232963.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-337	-
WLF01974.1	blaADC	WLF01974.1	OR367331.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-338	-
WLF01975.1	blaADC	WLF01975.1	OR367332.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-339	-
WLF01976.1	blaADC	WLF01976.1	OR367333.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-340	-
WLF01977.1	blaADC	WLF01977.1	OR367334.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-341	-
WLF01978.1	blaADC	WLF01978.1	OR367335.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-342	-
BER91151.1	blaADC	BER91151.1	LC777322.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-343	-
WOW71214.1	blaADC	WOW71214.1	OR754316.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-344	-
WOW71215.1	blaADC	WOW71215.1	OR754317.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-345	-
BEV74606.1	blaADC	BEV74606.1	LC794503.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-346	-
ACC95873.1	blaADC	ACC95873.1	EU652243.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-38	-
ACC95874.1	blaADC	ACC95874.1	EU652244.1	BETA-LACTAM	CEPHALOSPORIN	18765689	extended-spectrum class C beta-lactamase ADC-39	-
AAO59457.1	blaADC	AAO59457.1	AY178996.1	BETA-LACTAM	CEPHALOSPORIN	12709319	extended-spectrum class C beta-lactamase ADC-4	-
ACN62070.1	blaADC	ACN62070.1	FJ744160.1	BETA-LACTAM	CEPHALOSPORIN	20368407	extended-spectrum class C beta-lactamase ADC-41	-
ACN62071.1	blaADC	ACN62071.1	FJ744161.1	BETA-LACTAM	CEPHALOSPORIN	20368407	extended-spectrum class C beta-lactamase ADC-42	-
ACN62072.1	blaADC	ACN62072.1	FJ744162.1	BETA-LACTAM	CEPHALOSPORIN	20368407	extended-spectrum class C beta-lactamase ADC-43	-
ACN62073.1	blaADC	ACN62073.1	FJ744163.1	BETA-LACTAM	CEPHALOSPORIN	20368407	extended-spectrum class C beta-lactamase ADC-44	-
CAE00827.1	blaADC	CAE00827.1	AJ575184.1	BETA-LACTAM	CEPHALOSPORIN	15047547,24845871	extended-spectrum class C beta-lactamase ADC-5	-
ADG46038.1	blaADC	ADG46038.1	GU591982.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-50	-
ADG46040.1	blaADC	ADG46040.1	GU591984.1	BETA-LACTAM	CEPHALOSPORIN	20713667	extended-spectrum class C beta-lactamase ADC-51	-
ADG46042.1	blaADC	ADG46042.1	GU591986.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-52	-
ADG46044.1	blaADC	ADG46044.1	GU591988.1	BETA-LACTAM	CEPHALOSPORIN	20713667	extended-spectrum class C beta-lactamase ADC-53	-
ADK35761.1	blaADC	ADK35761.1	HM437231.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-54	-
AEL30570.1	blaADC	AEL30570.1	JF265067.1	BETA-LACTAM	CEPHALOSPORIN	21788456	cefepime-hydrolyzing class C beta-lactamase ADC-56	-
ADO51072.1	blaADC	ADO51072.1	HQ258925.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-57	-
AFG25594.1	blaADC	AFG25594.1	JQ319653.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-58	-
AFG25595.1	blaADC	AFG25595.1	JQ319654.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-59	-
AAR13676.1	blaADC	AAR13676.1	AY325306.1	BETA-LACTAM	CEPHALOSPORIN	14742218	extended-spectrum class C beta-lactamase ADC-6	-
AFH53180.1	blaADC	AFH53180.1	JQ692087.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-60	-
AFI56570.1	blaADC	AFI56570.1	JQ753702.1	BETA-LACTAM	CEPHALOSPORIN	26125919	extended-spectrum class C beta-lactamase ADC-61	-
AFK24475.1	blaADC	AFK24475.1	JQ867374.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-62	-
AFM80040.1	blaADC	AFM80040.1	JQ911781.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-63	-
AFP73417.1	blaADC	AFP73417.1	JX109941.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-65	-
AFP73418.1	blaADC	AFP73418.1	JX109942.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-66	-
AEZ36052.1	blaADC	AEZ36052.1	JQ037817.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-67	-
AGL39360.1	blaADC	AGL39360.1	KC866352.1	BETA-LACTAM	CARBAPENEM	25372683	carbapenem-hydrolyzing class C beta-lactamase ADC-68	-
AAT70411.1	blaADC	AAT70411.1	AY648950.1	BETA-LACTAM	CEPHALOSPORIN	15980372	extended-spectrum class C beta-lactamase ADC-7	-
KQG48886.1	blaADC	KQG48886.1	LLIO01000035.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-70	-
ALA14808.1	blaADC	ALA14808.1	KP881233.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-73	-
ALA14809.1	blaADC	ALA14809.1	KP881234.1	BETA-LACTAM	CEPHALOSPORIN	26824943	extended-spectrum class C beta-lactamase ADC-74	-
ALA14810.1	blaADC	ALA14810.1	KP881235.1	BETA-LACTAM	CEPHALOSPORIN	26824943	extended-spectrum class C beta-lactamase ADC-75	-
ALA14811.1	blaADC	ALA14811.1	KP881236.1	BETA-LACTAM	CEPHALOSPORIN	26824943	extended-spectrum class C beta-lactamase ADC-76	-
ALA14812.1	blaADC	ALA14812.1	KP881237.1	BETA-LACTAM	CEPHALOSPORIN	26824943	extended-spectrum class C beta-lactamase ADC-77	-
ALA14813.1	blaADC	ALA14813.1	KP881238.1	BETA-LACTAM	CEPHALOSPORIN	26824943	extended-spectrum class C beta-lactamase ADC-78	-
ALA14814.1	blaADC	ALA14814.1	KP881239.1	BETA-LACTAM	CEPHALOSPORIN	26824943	extended-spectrum class C beta-lactamase ADC-79	-
CAL25116.3	blaADC	CAL25116.3	AM293332.3	BETA-LACTAM	CEPHALOSPORIN	17403709	ADC-like class C beta-lactamase ADC-8	-
ALA14815.1	blaADC	ALA14815.1	KP881240.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-80	-
ALA14816.1	blaADC	ALA14816.1	KP881241.1	BETA-LACTAM	CEPHALOSPORIN	26824943	extended-spectrum class C beta-lactamase ADC-81	-
AFI94770.1	blaADC	AFI94770.1	CP003500.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-82	-
ANW47146.1	blaADC	ANW47146.1	KX599387.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-83	-
ANW47149.1	blaADC	ANW47149.1	KX599390.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-84	-
ANW47142.1	blaADC	ANW47142.1	KX599383.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-85	-
ANW47143.1	blaADC	ANW47143.1	KX599384.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-86	-
ANW47154.1	blaADC	ANW47154.1	KX599395.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-87	-
ANW47135.1	blaADC	ANW47135.1	KX599376.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-88	-
ANW47136.1	blaADC	ANW47136.1	KX599377.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-89	-
ANW47147.1	blaADC	ANW47147.1	KX599388.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-90	-
ANW47132.1	blaADC	ANW47132.1	KX599373.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-91	-
ANW47134.1	blaADC	ANW47134.1	KX599375.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-92	-
ANW47145.1	blaADC	ANW47145.1	KX599386.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-93	-
ANW47137.1	blaADC	ANW47137.1	KX599378.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-94	-
ANW47153.1	blaADC	ANW47153.1	KX599394.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-95	-
ANW47150.1	blaADC	ANW47150.1	KX599391.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-96	-
ANW47139.1	blaADC	ANW47139.1	KX599380.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-97	-
ANW47138.1	blaADC	ANW47138.1	KX599379.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-98	-
ANW47140.1	blaADC	ANW47140.1	KX599381.1	BETA-LACTAM	CEPHALOSPORIN		extended-spectrum class C beta-lactamase ADC-99	-
AAC09015.1	blaAER	AAC09015.1	U14748.1	BETA-LACTAM	BETA-LACTAM	3890725	carbenicillin-hydrolyzing class A beta-lactamase AER-1	-
AYV97588.1	blaAFM	AYV97588.1	MK143105.1	BETA-LACTAM	CARBAPENEM	34545931,34826621	subclass B1 metallo-beta-lactamase AFM-1	-
QHT72950.1	blaAFM	QHT72950.1	MN968768.1	BETA-LACTAM	CARBAPENEM	34826621	subclass B1 metallo-beta-lactamase AFM-2	-
QTH36338.1	blaAFM	QTH36338.1	MW811438.1	BETA-LACTAM	CARBAPENEM	34826621	subclass B1 metallo-beta-lactamase AFM-3	-
UIC51886.1	blaAFM	UIC51886.1	OM049002.1	BETA-LACTAM	CARBAPENEM		subclass B1 metallo-beta-lactamase AFM-4	-
CAQ53840.1	blaAIM	CAQ53840.1	AM998375.1	BETA-LACTAM	CARBAPENEM	22985886,37255469	subclass B3 metallo-beta-lactamase AIM-1	-
UBK05373.1	blaAIM	UBK05373.1	OK067203.1	BETA-LACTAM	CARBAPENEM		subclass B3 metallo-beta-lactamase AIM-2	-
APR64489.1	blaALG11	APR64489.1	KU167039.1	BETA-LACTAM	CARBAPENEM	28082950	subclass B3 metallo-beta-lactamase ALG11-1	-
APR64488.1	blaALG6	APR64488.1	KU167038.1	BETA-LACTAM	CARBAPENEM	28082950	subclass B3 metallo-beta-lactamase ALG6-1	-
	blaALI		FM178379.1	BETA-LACTAM	CARBAPENEM		subclass B1 metallo-beta-lactamase ALI-1	-
OCH27094.1	blaALI	OCH27094.1	MAJO01000013.1	BETA-LACTAM	CARBAPENEM		subclass B1 metallo-beta-lactamase ALI-2	-
WGJ88903.1	blaAMZ	WGJ88903.1	CP123364.1	BETA-LACTAM	CEPHALOSPORIN	37808287	class C beta-lactamase AMZ-1	-
	blaANA		CP000769.1	BETA-LACTAM	CARBAPENEM		subclass B1 metallo-beta-lactamase ANA-1	-
BAM76830.1	blaAQU	BAM76830.1	AB765395.1	BETA-LACTAM	BETA-LACTAM	24055254	AQU family class C beta-lactamase	-
AHF82023.1	blaAQU	AHF82023.1	KF730243.1	BETA-LACTAM	BETA-LACTAM		AQU family class C beta-lactamase	-
AHF82024.1	blaAQU	AHF82024.1	KF730244.1	BETA-LACTAM	BETA-LACTAM		AQU family class C beta-lactamase	-
BAM76828.1	blaAQU	BAM76828.1	AB765393.1	BETA-LACTAM	CEPHALOSPORIN	24055254	extended-spectrum class C beta-lactamase AQU-1	-
APY23859.1	blaARL	APY23859.1	KY363213.1	BETA-LACTAM	BETA-LACTAM	28497118	class A beta-lactamase ARL-1	-
APY23841.1	blaARL	APY23841.1	KY363207.1	BETA-LACTAM	BETA-LACTAM	28497118	class A beta-lactamase ARL-2	-
APY23844.1	blaARL	APY23844.1	KY363208.1	BETA-LACTAM	BETA-LACTAM	28497118	class A beta-lactamase ARL-3	-
APY23838.1	blaARL	APY23838.1	KY363206.1	BETA-LACTAM	BETA-LACTAM	28497118	class A beta-lactamase ARL-4	-
APY23862.1	blaARL	APY23862.1	KY363214.1	BETA-LACTAM	BETA-LACTAM	28497118	class A beta-lactamase ARL-5	-
APY23865.1	blaARL	APY23865.1	KY464892.1	BETA-LACTAM	BETA-LACTAM	28497118	class A beta-lactamase ARL-6	-
AAG44836.1	blaAST	AAG44836.1	AF279904.1	BETA-LACTAM	BETA-LACTAM	11181374	broad-spectrum class A beta-lactamase AST-1	-
